PROD_CODE,PROD_CODE_10,PACKAGING,CARBON_FOOTPRINT,HAZARDOUS_MATERIAL,RECYCLABLE
PRD0900008,CL00042,1,7,2,1
PRD0900021,CL00006,1,2,1,1
PRD0900032,CL00163,3,9,2,3
PRD0900066,CL00041,2,7,1,2
PRD0900097,CL00001,2,4,2,1
PRD0900098,CL00073,1,4,1,3
PRD0900101,CL00110,2,3,2,1
PRD0900121,CL00063,1,9,2,1
PRD0900125,CL00132,3,3,1,3
PRD0900129,CL00067,2,4,2,2
PRD0900137,CL00129,3,1,2,2
PRD0900144,CL00205,2,4,2,1
PRD0900154,CL00248,1,8,1,1
PRD0900159,CL00029,2,5,2,1
PRD0900173,CL00045,2,1,2,1
PRD0900186,CL00148,2,4,1,1
PRD0900191,CL00212,1,3,2,1
PRD0900202,CL00002,1,9,2,1
PRD0900203,CL00088,2,1,1,2
PRD0900209,CL00123,2,3,2,1
PRD0900231,CL00110,2,5,2,3
PRD0900239,CL00023,2,3,1,3
PRD0900302,CL00037,2,10,2,2
PRD0900318,CL00130,3,9,1,2
PRD0900342,CL00140,2,4,1,3
PRD0900378,CL00128,2,7,1,2
PRD0900385,CL00036,3,2,2,3
PRD0900388,CL00050,3,3,2,1
PRD0900396,CL00229,1,9,2,3
PRD0900430,CL00007,3,9,2,1
PRD0900432,CL00070,1,1,2,1
PRD0900461,CL00150,3,9,2,1
PRD0900466,CL00049,3,9,2,2
PRD0900474,CL00239,3,4,1,1
PRD0900477,CL00083,2,3,2,3
PRD0900487,CL00157,1,8,2,1
PRD0900488,CL00007,2,6,1,2
PRD0900496,CL00201,1,3,1,2
PRD0900523,CL00140,2,5,1,3
PRD0900546,CL00197,2,5,1,3
PRD0900551,CL00127,3,10,1,1
PRD0900575,CL00090,3,1,2,1
PRD0900609,CL00128,3,3,2,3
PRD0900640,CL00085,1,8,1,2
PRD0900642,CL00162,1,5,1,2
PRD0900649,CL00140,1,7,2,3
PRD0900663,CL00103,1,8,2,3
PRD0900684,CL00043,2,8,2,1
PRD0900699,CL00089,1,6,1,2
PRD0900725,CL00006,2,1,2,3
PRD0900774,CL00155,2,4,1,1
PRD0900786,CL00142,1,2,2,2
PRD0900789,CL00235,3,3,1,3
PRD0900815,CL00164,3,8,1,2
PRD0900819,CL00002,2,1,1,2
PRD0900830,CL00043,2,10,1,3
